od_id,run_id,origin_point_id,origin_dataset_source,origin_lat,origin_lon,dest_point_id,dest_dataset_source,dest_lat,dest_lon,distance_km,distance_bucket,actual_duration_s,route_distance_m,timestamp_iso,label_source,dataset_attribution
run20260221000458_002000,run20260221000458,pt_853297547b4088f7,Child Care Services,1.437421,103.839982,pt_d0d5f3532f57b07a,Hawker Centres,1.287308,103.818311,16.864748,8_20km,2244.000,24126.000,2026-02-21T00:23:25.915955+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002001,run20260221000458,pt_765d7bffcb33966a,Child Care Services,1.343026,103.706880,pt_015a0af4912f32f4,Child Care Services,1.340344,103.687842,2.137257,1_3km,494.000,3136.000,2026-02-21T00:23:26.376265+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002002,run20260221000458,pt_6d124b9d896d1704,Child Care Services,1.350913,103.837585,pt_9693665fc359dedf,Hawker Centres,1.396793,103.888437,7.614550,3_8km,1366.000,11136.000,2026-02-21T00:23:26.682505+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002003,run20260221000458,pt_a986e186ea2a2143,Child Care Services,1.351753,103.748972,pt_bdf8411a34490419,Child Care Services,1.295690,103.787503,7.563630,3_8km,1137.000,10805.000,2026-02-21T00:23:26.959057+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002004,run20260221000458,pt_e901b4868f87af04,Child Care Services,1.441244,103.825620,pt_ffb7a08fefc0844b,Child Care Services,1.427287,103.774859,5.852132,3_8km,1033.000,7522.000,2026-02-21T00:23:27.238490+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002005,run20260221000458,pt_856ef82823de78a9,Child Care Services,1.380445,103.944359,pt_3e59254a29df6546,Child Care Services,1.332748,103.902616,7.047079,3_8km,986.000,10456.000,2026-02-21T00:23:27.529722+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002006,run20260221000458,pt_2b7f36e4eb3c4d5c,Child Care Services,1.311305,103.856422,pt_ede5e9788a064b74,Child Care Services,1.294146,103.826988,3.787724,3_8km,583.000,4924.000,2026-02-21T00:23:27.828759+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002007,run20260221000458,pt_827650f2365e4f35,Child Care Services,1.398377,103.887278,pt_4337397394f77054,Child Care Services,1.446805,103.817812,9.414095,8_20km,1632.000,18547.000,2026-02-21T00:23:28.129973+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002008,run20260221000458,pt_4b70a67695e70520,Child Care Services,1.296129,103.830657,pt_a6751f3abe2df9a3,Child Care Services,1.303899,103.847965,2.109147,1_3km,429.000,2958.000,2026-02-21T00:23:28.436627+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002009,run20260221000458,pt_1525d927dd40f8dc,Child Care Services,1.331434,103.936865,pt_f09113f433c07bff,Child Care Services,1.322785,103.911863,2.941037,1_3km,586.000,4198.000,2026-02-21T00:23:28.712912+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002010,run20260221000458,pt_cd49134d0cef88a6,Child Care Services,1.287134,103.807001,pt_64ef8eaef3bf37c9,Child Care Services,1.300589,103.824479,2.452250,1_3km,523.000,3490.000,2026-02-21T00:23:28.996039+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002011,run20260221000458,pt_b8542f39483bc07e,Community Club / PAssion WaVe Outlet,1.283453,103.831883,pt_fdb326935bdb837d,Hawker Centres,1.280331,103.844747,1.471586,1_3km,510.000,3594.000,2026-02-21T00:23:29.294662+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002012,run20260221000458,pt_57940dbecc5235c8,Child Care Services,1.376106,103.953517,pt_95b6775ab17edb80,Child Care Services,1.360923,103.953359,1.688364,1_3km,549.000,4200.000,2026-02-21T00:23:29.638388+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002013,run20260221000458,pt_69295cbc425ad382,Child Care Services,1.302779,103.888926,pt_1e3f64f3429c07de,Child Care Services,1.322704,103.925268,4.607622,3_8km,807.000,5783.000,2026-02-21T00:23:29.955645+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002014,run20260221000458,pt_bd778d3cca3e4c06,Child Care Services,1.262063,103.818733,pt_0768929cd6adfd4e,Child Care Services,1.277910,103.822536,1.812113,1_3km,514.000,3217.000,2026-02-21T00:23:30.259883+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002015,run20260221000458,pt_1d892f837d219e77,Child Care Services,1.318745,103.820233,pt_738dc3512a8df5ad,Child Care Services,1.344351,103.871087,6.329717,3_8km,917.000,8906.000,2026-02-21T00:23:30.532389+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002016,run20260221000458,pt_662b9ddd11d2d4e0,Hawker Centres,1.316736,103.898228,pt_a95d7f847946c95c,Child Care Services,1.333665,103.839419,6.803130,3_8km,871.000,8406.000,2026-02-21T00:23:30.814952+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002017,run20260221000458,pt_5fdbeae4453e0331,Child Care Services,1.291537,103.771129,pt_8600a53737986545,Child Care Services,1.287638,103.843977,8.109873,8_20km,981.000,12240.000,2026-02-21T00:23:31.097095+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002018,run20260221000458,pt_dabad6ee75e8410a,Child Care Services,1.346304,103.720626,pt_1a16cf38c957f329,Child Care Services,1.342273,103.740101,2.210839,1_3km,440.000,2910.000,2026-02-21T00:23:31.376116+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002019,run20260221000458,pt_662b9ddd11d2d4e0,Hawker Centres,1.316736,103.898228,pt_63068ba0348f066c,Child Care Services,1.385101,103.745554,18.596554,8_20km,1851.000,23059.000,2026-02-21T00:23:31.674126+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002020,run20260221000458,pt_99dd8557525c2af9,Child Care Services,1.416942,103.815973,pt_519458a16deedaec,Child Care Services,1.404091,103.748146,7.673951,3_8km,1321.000,12639.000,2026-02-21T00:23:31.955332+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002021,run20260221000458,pt_c1ea6643abf85dfa,Child Care Services,1.376078,103.746903,pt_34b6e26260526ddd,Child Care Services,1.395083,103.748349,2.119364,1_3km,409.000,3071.000,2026-02-21T00:23:32.240055+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002022,run20260221000458,pt_e1a52174f7be75d9,Child Care Services,1.381997,103.897031,pt_59032bd704240762,Child Care Services,1.381871,103.875496,2.393927,1_3km,485.000,3368.000,2026-02-21T00:23:32.608511+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002023,run20260221000458,pt_918a6b70441165b0,Child Care Services,1.318780,103.826841,pt_b33903a08a16b941,Hawker Centres,1.324160,103.814166,1.530757,1_3km,290.000,2192.000,2026-02-21T00:23:32.912317+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002024,run20260221000458,pt_ff0cefe9070666cb,Child Care Services,1.415582,103.905606,pt_1325618faf913bca,Child Care Services,1.323250,103.767260,18.491111,8_20km,2355.000,30441.000,2026-02-21T00:23:33.205515+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002025,run20260221000458,pt_538b5c55df2308aa,Child Care Services,1.390821,103.851706,pt_86ef5fc01a2ed832,Child Care Services,1.350142,103.696685,17.816378,8_20km,2187.000,26893.000,2026-02-21T00:23:33.523669+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002026,run20260221000458,pt_50fac8e609bb99c1,Child Care Services,1.273635,103.808207,pt_dff9b4c73f9ac05b,Child Care Services,1.334348,103.795854,6.889229,3_8km,1255.000,10785.000,2026-02-21T00:23:33.808817+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002027,run20260221000458,pt_b9d72271c9c0ed37,Child Care Services,1.334295,103.947431,pt_095d5f93316e59ce,Child Care Services,1.352643,103.942895,2.101593,1_3km,426.000,3181.000,2026-02-21T00:23:34.203083+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
run20260221000458_002028,run20260221000458,pt_5ef436d27655e4cc,Child Care Services,1.376451,103.770559,pt_c83a0d0d92853073,Child Care Services,1.411036,103.844040,9.028306,8_20km,1396.000,15388.000,2026-02-21T00:23:34.529587+08:00,onemap_route,"Contains information from data.gov.sg, licensed under the Singapore Open Data Licence."
