od_id,origin_point_id,origin_lat,origin_lon,origin_dataset_source,dest_point_id,dest_lat,dest_lon,dest_dataset_source,distance_km,distance_bucket
run20260221000458_000072,pt_b0468c84764cce5d,1.293818,103.804887,Child Care Services,pt_e076940387ecf710,1.286680,103.813766,Child Care Services,1.266586,1_3km
run20260221000458_000073,pt_83aa92df5cdb0988,1.286680,103.813766,SportSG Sport Facilities,pt_6214719a76361ea7,1.297338,103.814907,Child Care Services,1.191884,1_3km
run20260221000458_000074,pt_066b5d3fc20f0497,1.375025,103.752113,Child Care Services,pt_c028f739157694f2,1.350023,103.746498,Child Care Services,2.849304,1_3km
run20260221000458_000075,pt_78b669af0abeda93,1.387216,103.829163,Child Care Services,pt_9fb17ee70506b418,1.441767,103.824495,Child Care Services,6.087949,3_8km
run20260221000458_000076,pt_5bce56ab36c67a60,1.348292,103.941192,Child Care Services,pt_1525d927dd40f8dc,1.331434,103.936865,Child Care Services,1.935255,1_3km
run20260221000458_000077,pt_374b013859553791,1.376677,103.838361,Child Care Services,pt_aca4de33245dacf6,1.424988,103.844748,Hawker Centres,5.418653,3_8km
run20260221000458_000078,pt_a66d39080dc53e34,1.322612,103.920876,Child Care Services,pt_2f2cdf03a41b3fb1,1.332536,103.867037,Community Club / PAssion WaVe Outlet,6.085896,3_8km
run20260221000458_000079,pt_c70fb781887e3636,1.297526,103.852133,Child Care Services,pt_490093b6aeb1e8fd,1.311894,103.841977,Child Care Services,1.956305,1_3km
run20260221000458_000080,pt_d99b46058e5bb971,1.352920,103.929501,Child Care Services,pt_15c202205634994d,1.352774,103.942492,Child Care Services,1.444222,1_3km
run20260221000458_000081,pt_cd18248d1744c70e,1.354960,103.958521,Child Care Services,pt_314de35b33811c5f,1.326597,103.885052,Hawker Centres,8.754931,8_20km
run20260221000458_000082,pt_333d090c3e08d639,1.446799,103.805490,Child Care Services,pt_765396d528536451,1.342764,103.855873,Child Care Services,12.852625,8_20km
run20260221000458_000083,pt_c3da1ccf4fb858f0,1.357397,103.849430,Child Care Services,pt_cde2ff37e224c39b,1.310045,103.769124,Child Care Services,10.364281,8_20km
run20260221000458_000084,pt_914074f88c0ba3ba,1.334410,103.875537,Child Care Services,pt_ed4ca3d45e11f5fd,1.358857,103.889428,Child Care Services,3.126356,3_8km
run20260221000458_000085,pt_2672a9e9d4563d81,1.344062,103.766278,Child Care Services,pt_5b62e43f6f8cb30f,1.346775,103.753336,Child Care Services,1.469976,1_3km
run20260221000458_000086,pt_b31c152e2d34b2ba,1.353357,103.954620,Community Club / PAssion WaVe Outlet,pt_9bc90a27f2d1d440,1.374159,103.897685,Child Care Services,6.738524,3_8km
run20260221000458_000087,pt_918e34a80761ff91,1.370670,103.897529,Child Care Services,pt_59bbf60e5ed7104e,1.392220,103.886427,Child Care Services,2.695383,1_3km
run20260221000458_000088,pt_b77d04de675e4311,1.402483,103.744473,Child Care Services,pt_108f9842e2174863,1.441682,103.785985,Child Care Services,6.347610,3_8km
run20260221000458_000089,pt_fb9ca7295cb752d7,1.425962,103.829779,Child Care Services,pt_c3dc51c11e76e72f,1.444175,103.813886,Child Care Services,2.687474,1_3km
run20260221000458_000090,pt_ba9002971c7939bb,1.296800,103.802389,SportSG Sport Facilities,pt_008ed3ceeb4866aa,1.430840,103.793416,Child Care Services,14.937908,8_20km
run20260221000458_000091,pt_f0710c76f0499935,1.383827,103.901684,Child Care Services,pt_45dde73636664843,1.395522,103.902214,Child Care Services,1.301759,1_3km
run20260221000458_000092,pt_80b0b430e4f42033,1.332390,103.801672,Child Care Services,pt_f1eba902a04caf8a,1.284786,103.832182,Hawker Centres,6.286709,3_8km
run20260221000458_000093,pt_5b2c10aa08de4820,1.403412,103.915952,Child Care Services,pt_ff0cefe9070666cb,1.415582,103.905606,Child Care Services,1.775932,1_3km
run20260221000458_000094,pt_6d16f5263d62a1b3,1.319656,103.764455,Child Care Services,pt_3cc67fcdebaafa32,1.283661,103.817073,Hawker Centres,7.087632,3_8km
run20260221000458_000095,pt_761c8995be2a74fe,1.392198,103.898456,Child Care Services,pt_1ab7e1dfad6b6c11,1.379593,103.773855,Child Care Services,13.921682,8_20km
run20260221000458_000096,pt_7a1ef8ec12fc74f5,1.428021,103.780897,Child Care Services,pt_d18ccd614b38f163,1.331367,103.855870,Child Care Services,13.600229,8_20km
run20260221000458_000097,pt_7a4db462588a6907,1.323580,103.885439,Hawker Centres,pt_a2c87287c82f0271,1.348495,103.875567,Child Care Services,2.979859,1_3km
run20260221000458_000098,pt_f33ff42bb99fb632,1.360337,103.843963,Child Care Services,pt_d516b3c79b9425ac,1.376997,103.874738,Child Care Services,3.890418,3_8km
run20260221000458_000099,pt_e57914997e8a03e5,1.326985,103.935848,Child Care Services,pt_7f490cb7744f002b,1.325211,103.913195,Child Care Services,2.525938,1_3km
run20260221000458_000100,pt_a0b84cf1db8664b0,1.323034,103.915442,Child Care Services,pt_b65b4730ed45f5fa,1.315427,103.909938,Child Care Services,1.043956,1_3km
run20260221000458_000101,pt_9e09d32a57c7f62c,1.376783,103.940314,Child Care Services,pt_76592241eac25deb,1.434998,103.831125,Child Care Services,13.755871,8_20km
run20260221000458_000102,pt_81ff4c5494ceeddc,1.402128,103.913578,Child Care Services,pt_3840ee3d54fae469,1.327725,103.806972,Child Care Services,14.452858,8_20km
run20260221000458_000103,pt_c5d380521b63c90b,1.354293,103.937595,Child Care Services,pt_ce078fa5698981ce,1.348692,103.950428,Child Care Services,1.556592,1_3km
run20260221000458_000104,pt_ce0f743af0a9276c,1.401760,103.899944,Child Care Services,pt_3e1cf93eadb36f52,1.318262,103.881337,Child Care Services,9.512166,8_20km
run20260221000458_000105,pt_0a2102fe79f268cc,1.439497,103.791761,Child Care Services,pt_781fbc2e53ea714f,1.431511,103.774428,Child Care Services,2.121524,1_3km
run20260221000458_000106,pt_0546b04d85db7a95,1.432090,103.846198,Child Care Services,pt_d80db407b07eff31,1.335788,103.847992,Child Care Services,10.710151,8_20km
run20260221000458_000107,pt_8f6b4b6cbb8b2565,1.311821,103.910557,Child Care Services,pt_9fb17ee70506b418,1.441767,103.824495,Child Care Services,17.329419,8_20km
run20260221000458_000108,pt_b88b8b29e50057cc,1.314618,103.865922,Child Care Services,pt_28db0277ec762dfc,1.313358,103.929964,Child Care Services,7.120651,3_8km
run20260221000458_000109,pt_fb9ca7295cb752d7,1.425962,103.829779,Child Care Services,pt_730cf6751c624ea3,1.377293,103.745757,Child Care Services,10.794584,8_20km
run20260221000458_000110,pt_4badcebe5e73c223,1.453845,103.819543,Child Care Services,pt_0943e206d57f5e7d,1.393328,103.886618,Child Care Services,10.043669,8_20km
run20260221000458_000111,pt_be4b9f76e465ea33,1.321669,103.862718,Child Care Services,pt_d6c4db754bdd9fea,1.306187,103.850586,Hawker Centres,2.186897,1_3km
run20260221000458_000112,pt_822cf0ec81f38071,1.365628,103.871831,Child Care Services,pt_235cfa238d993355,1.374904,103.895996,Child Care Services,2.877473,1_3km
run20260221000458_000113,pt_c3dc437bee937299,1.330281,103.866402,Child Care Services,pt_393f11f0e9e4bfce,1.320000,103.887363,Child Care Services,2.595461,1_3km
run20260221000458_000114,pt_765396d528536451,1.342764,103.855873,Child Care Services,pt_526641ddb9ad9f50,1.371694,103.887729,Child Care Services,4.784200,3_8km
run20260221000458_000115,pt_da300bb8b5b69f21,1.328579,103.853873,Child Care Services,pt_771d6c1c6c863430,1.370888,103.844765,Child Care Services,4.812263,3_8km
run20260221000458_000116,pt_06c5e1c6055b761e,1.358095,103.833356,Child Care Services,pt_6ee96a851c5b1f07,1.381517,103.841428,Community Club / PAssion WaVe Outlet,2.754651,1_3km
run20260221000458_000117,pt_b87959dcfe8bd1f9,1.370710,103.853495,Child Care Services,pt_76d332b91cb123ad,1.347553,103.848880,Child Care Services,2.625550,1_3km
run20260221000458_000118,pt_7e820df7d419ea1c,1.312897,103.924111,Child Care Services,pt_6aad271880fe8d33,1.320405,103.936741,Child Care Services,1.633479,1_3km
run20260221000458_000119,pt_2332c5fe8b89f45b,1.357365,103.946603,Community Club / PAssion WaVe Outlet,pt_8fae0c5246b82d77,1.276167,103.841584,Child Care Services,14.758495,8_20km
run20260221000458_000120,pt_3ec195df1177317c,1.315691,103.872388,Child Care Services,pt_47b8ba5beb53efe7,1.319452,103.892135,Child Care Services,2.234667,1_3km
run20260221000458_000121,pt_b50969061ae76e9d,1.335416,103.922350,Child Care Services,pt_223f1d7a25d86691,1.351386,103.943765,Child Care Services,2.969948,1_3km
run20260221000458_000122,pt_8bcda5b43846b298,1.393160,103.885660,Child Care Services,pt_3683b5066f21c349,1.374651,103.881223,Child Care Services,2.116383,1_3km
run20260221000458_000123,pt_b61d22a449586ce3,1.347492,103.768347,Child Care Services,pt_822cf0ec81f38071,1.365628,103.871831,Child Care Services,11.679094,8_20km
run20260221000458_000124,pt_9693665fc359dedf,1.396793,103.888437,Hawker Centres,pt_430e122dd559e5be,1.311158,103.761018,Child Care Services,17.067565,8_20km
run20260221000458_000125,pt_486b0d3844997503,1.359059,103.749457,Community Club / PAssion WaVe Outlet,pt_e9e7ffb4d9930b5d,1.339894,103.766610,Child Care Services,2.859590,1_3km
run20260221000458_000126,pt_1d4da5c635370ceb,1.380605,103.760042,Child Care Services,pt_8fae0c5246b82d77,1.276167,103.841584,Child Care Services,14.731888,8_20km
run20260221000458_000127,pt_498d1d1753555b45,1.328406,103.796563,Child Care Services,pt_a07936a2fdd86812,1.343786,103.774776,Child Care Services,2.964882,1_3km
run20260221000458_000128,pt_f8a9fef7b5b7294f,1.334551,103.852004,Hawker Centres,pt_2d4cec55a5eb9a11,1.377892,103.856412,Child Care Services,4.844147,3_8km
run20260221000458_000129,pt_180b6d6fdddd879c,1.321312,103.858251,Child Care Services,pt_2be18954bbcf2a6f,1.293802,103.831758,Child Care Services,4.246298,3_8km
run20260221000458_000130,pt_9fe7b0f0b761c652,1.350587,103.880451,Child Care Services,pt_45dde73636664843,1.395522,103.902214,Child Care Services,5.551412,3_8km
run20260221000458_000131,pt_c61c87b596b4e1ed,1.362970,103.954392,Child Care Services,pt_1b88970994baabc5,1.349138,103.852879,Child Care Services,11.388902,8_20km
run20260221000458_000132,pt_512bae3f6b84a739,1.445653,103.831433,Child Care Services,pt_33845e4c14d0c063,1.452731,103.823967,Child Care Services,1.143761,1_3km
run20260221000458_000133,pt_6b47837dac8bf0ad,1.372687,103.743618,Child Care Services,pt_575667eb3aec82e2,1.396610,103.749729,Child Care Services,2.745485,1_3km
run20260221000458_000134,pt_c792b5d63dcb1146,1.430584,103.796276,Child Care Services,pt_af2c6c7c5b247519,1.444423,103.793884,Child Care Services,1.561630,1_3km
run20260221000458_000135,pt_b3c83b5616ac2b45,1.439427,103.824598,Child Care Services,pt_14405d4e68ee99c5,1.448263,103.822764,Hawker Centres,1.003446,1_3km
run20260221000458_000136,pt_76557c40e9d300fd,1.389001,103.892763,Child Care Services,pt_2dccc076b3837ba5,1.406093,103.905395,Child Care Services,2.363014,1_3km
run20260221000458_000137,pt_6a0d031fc505211f,1.349431,103.870921,Child Care Services,pt_075b139a4a42a9f7,1.324890,103.944841,Child Care Services,8.658545,8_20km
run20260221000458_000138,pt_510fa9f61e2fdef3,1.296089,103.811943,Child Care Services,pt_b7965b0c44ffb4b0,1.304511,103.791460,Child Care Services,2.462076,1_3km
run20260221000458_000139,pt_87eb1f48f7943690,1.357876,103.759941,Child Care Services,pt_c6fe442ec0b0304c,1.308683,103.761410,Child Care Services,5.472449,3_8km
run20260221000458_000140,pt_3f529657969db370,1.350115,103.838728,Child Care Services,pt_a20e07033c232402,1.314867,103.844295,Child Care Services,3.967955,3_8km
run20260221000458_000141,pt_209c9d94b88c633f,1.347091,103.854878,Child Care Services,pt_f0efa24101401e3e,1.299792,103.890672,Child Care Services,6.595014,3_8km
